종목코드,종목명,종가,대비,등락률,상장시가총액
"196170","알테오젠","529000","-20000","-3.64","2.8304562E7"
"247540","에코프로비엠","157900","-3900","-2.41","1.5442832E7"
"086520","에코프로","92800","-2900","-3.03","1.2600027E7"
"277810","레인보우로보틱스","458000","-36500","-7.38","8885135.0"
"028300","HLB","54400","800","1.49","7151101.0"
"087010","펩트론","262000","-9500","-3.50","6109146.0"
"298380","에이비엘바이오","103800","-7400","-6.65","5721992.0"
"141080","리가켐바이오","152000","-5400","-3.43","5564771.0"
"000250","삼천당제약","232500","-8500","-3.53","5453862.0"
"214450","파마리서치","508000","-26000","-4.87","5277941.0"
"058470","리노공업","55400","-3500","-5.94","4222136.0"
"310210","보로노이","207500","-11500","-5.25","3816573.0"
"214370","케어젠","62500","0","0.00","3357188.0"
"039030","이오테크닉스","273000","-20500","-6.98","3363237.0"
"240810","원익IPS","67600","-900","-1.31","3318072.0"
"214150","클래시스","47300","-200","-0.42","3098418.0"
"068760","셀트리온제약","64200","-1000","-1.53","2804204.0"
"145020","휴젤","228500","-7500","-3.18","2811472.0"
"035900","JYP Ent.","78200","-3500","-4.28","2778641.0"
"403870","HPSP","32600","-1450","-4.26","2722053.0"
"257720","실리콘투","42600","-1950","-4.38","2605923.0"
"041510","에스엠","113500","-4400","-3.73","2598547.0"
"084370","유진테크","104400","2600","2.55","2392435.0"
"222800","심텍","66000","3700","5.94","2300429.0"
"089030","테크윙","60400","-3600","-5.63","2256160.0"
"263750","펄어비스","34800","-850","-2.38","2235825.0"
"357780","솔브레인","271000","-11500","-4.07","2107991.0"
"237690","에스티팜","99700","-1400","-1.38","2063958.0"
"140410","메지온","66700","-1600","-2.34","2024750.0"
"005290","동진쎄미켐","39100","-3300","-7.78","2010307.0"
"082270","젬백스","46250","0","0.00","1960556.0"
"064760","티씨케이","158400","-8000","-4.81","1849320.0"
"067310","하나마이크론","27950","-1150","-3.95","1852301.0"
"348370","엔켐","83600","-4200","-4.78","1819758.0"
"039200","오스코텍","46700","-350","-0.74","1786517.0"
"140860","파크시스템스","240500","-2000","-0.82","1682388.0"
"160190","하이젠알앤엠","53400","-5600","-9.49","1649419.0"
"007390","네이처셀","25150","600","2.44","1620542.0"
"204270","제이앤티씨","27500","-1950","-6.62","1590833.0"
"095340","ISC","74000","-7500","-9.20","1568582.0"
"122870","와이지엔터테인먼트","83800","-4200","-4.77","1566310.0"
"065350","신성델타테크","55200","-900","-1.60","1517114.0"
"293490","카카오게임즈","16660","-220","-1.30","1495850.0"
"178320","서진시스템","25950","-800","-2.99","1459634.0"
"036930","주성엔지니어링","30400","-1450","-4.55","1436957.0"
"035760","CJ ENM","66200","-900","-1.34","1451710.0"
"290650","엘앤씨바이오","58100","500","0.87","1430355.0"
"195940","HK이노엔","49200","-1300","-2.57","1393831.0"
"096530","씨젠","26250","-200","-0.76","1370932.0"
"253450","스튜디오드래곤","42250","-1100","-2.54","1269972.0"
"328130","루닛","42400","600","1.44","1238275.0"
"161580","필옵틱스","52900","-4400","-7.68","1238005.0"
"101490","에스앤에스텍","57000","-3600","-5.94","1222732.0"
"078600","대주전자재료","74800","-3600","-4.59","1157948.0"
"183300","코미코","109000","-7800","-6.68","1140215.0"
"098460","고영","16280","-790","-4.63","1117699.0"
"232140","와이씨","13500","-610","-4.32","1107612.0"
"319660","피에스케이","36900","-1500","-3.91","1068872.0"
"417200","LS머트리얼즈","15030","210","1.42","1016819.0"
"031980","피에스케이홀딩스","46550","-2550","-5.19","1003729.0"
"213420","덕산네오룩스","40400","-1900","-4.49","1003180.0"
"358570","지아이이노베이션","15880","-150","-0.94","1011140.0"
"137400","피엔티","42100","-1500","-3.44","999584.0"
"033500","동성화인텍","31750","0","0.00","952166.0"
"085660","차바이오텍","12680","-100","-0.78","969084.0"
"281740","레이크머티리얼즈","14190","-700","-4.70","932716.0"
"323280","태성","30650","250","0.82","934847.0"
"218410","RFHIC","34050","-2700","-7.35","902442.0"
"112040","위메이드","27150","-400","-1.45","921701.0"
"131970","두산테스나","47450","-2750","-5.48","917077.0"
"225570","넥슨게임즈","13360","-400","-2.91","879892.0"
"042000","카페24","35300","-1200","-3.29","856133.0"
"056190","에스에프에이","24250","-700","-2.81","870787.0"
"086900","메디톡스","118900","-1600","-1.33","867791.0"
"018290","브이티","24500","-800","-3.16","856075.0"
"376300","디어유","36400","-1150","-3.06","864078.0"
"036830","솔브레인홀딩스","41000","-1900","-4.43","859526.0"
"067160","SOOP","72400","100","0.14","832221.0"
"095610","테스","41450","-2750","-6.22","819393.0"
"003380","하림지주","7330","-100","-1.35","821001.0"
"086450","동국제약","17580","-260","-1.46","789056.0"
"014620","성광벤드","29150","-1450","-4.74","774147.0"
