종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","100600","-4300","-4.10","5.95515575E8"
"000660","SK하이닉스","579000","-7000","-1.19","4.21513369E8"
"373220","LG에너지솔루션","464000","-9000","-1.90","1.08576E8"
"207940","삼성바이오로직스","1221000","0","0.00","8.6903454E7"
"005380","현대차","268500","-7500","-2.72","5.497746E7"
"034020","두산에너빌리티","83600","-5900","-6.59","5.3550912E7"
"012450","한화에어로스페이스","950000","-60000","-5.94","4.8985231E7"
"329180","HD현대중공업","528000","-39000","-6.88","4.6872205E7"
"105560","KB금융","121600","-300","-0.25","4.6385792E7"
"000270","기아","111000","-3400","-2.97","4.3710609E7"
"035420","NAVER","278500","11500","4.31","4.368346E7"
"068270","셀트리온","174900","-1400","-0.79","4.0391258E7"
"042660","한화오션","126400","-10200","-7.47","3.8730653E7"
"028260","삼성물산","215500","-5500","-2.49","3.6629945E7"
"055550","신한지주","75300","-1100","-1.44","3.6557769E7"
"402340","SK스퀘어","260000","-14000","-5.11","3.4460623E7"
"267260","HD현대일렉트릭","868000","-50000","-5.45","3.1288913E7"
"009540","HD한국조선해양","428500","-29000","-6.34","3.032628E7"
"032830","삼성생명","150000","-1100","-0.73","3.0E7"
"035720","카카오","62700","-1500","-2.34","2.7733347E7"
"015760","한국전력","43500","-1550","-3.44","2.7925437E7"
"051910","LG화학","385000","-10000","-2.53","2.7178052E7"
"012330","현대모비스","288000","-8000","-2.70","2.6436987E7"
"006400","삼성SDI","325000","-12500","-3.70","2.6190297E7"
"005490","POSCO홀딩스","305500","-7000","-2.24","2.4725017E7"
"010140","삼성중공업","27450","-1250","-4.36","2.4156E7"
"086790","하나금융지주","86900","-1000","-1.14","2.4186513E7"
"064350","현대로템","214500","-15500","-6.74","2.3411022E7"
"000810","삼성화재","469000","24500","5.51","2.1579232E7"
"298040","효성중공업","2219000","-68000","-2.97","2.0691172E7"
"096770","SK이노베이션","120900","-5600","-4.43","2.0438482E7"
"138040","메리츠금융지주","113900","600","0.53","1.995776E7"
"010130","고려아연","1002000","-9000","-0.89","1.938195E7"
"003670","포스코퓨처엠","213500","-5500","-2.51","1.8990018E7"
"316140","우리금융지주","26000","-250","-0.95","1.9085984E7"
"011200","HMM","19800","-400","-1.98","1.8676112E7"
"034730","SK","237500","-14500","-5.75","1.7219392E7"
"009150","삼성전기","229500","-9500","-3.97","1.7142203E7"
"033780","KT&G","135900","-400","-0.29","1.6290707E7"
"267250","HD현대","203000","-7500","-3.56","1.6035596E7"
"024110","기업은행","19320","-10","-0.05","1.5406268E7"
"000150","두산","930000","-63000","-6.34","1.5367167E7"
"006800","미래에셋증권","24750","-900","-3.51","1.4115331E7"
"066570","LG전자","87100","-1400","-1.58","1.4187404E7"
"352820","하이브","332000","-9000","-2.64","1.3982187E7"
"018260","삼성에스디에스","177800","-11000","-5.83","1.3757773E7"
"010120","LS ELECTRIC","451500","-28500","-5.94","1.3545E7"
"042700","한미반도체","133100","-6600","-4.72","1.2686054E7"
"003550","LG","79700","-2200","-2.69","1.229146E7"
"259960","크래프톤","263000","-16000","-5.73","1.2464584E7"
"030200","KT","48450","50","0.10","1.2210451E7"
"086280","현대글로비스","161600","-5000","-3.00","1.212E7"
"017670","SK텔레콤","52700","300","0.57","1.1319436E7"
"323410","카카오뱅크","22400","-650","-2.82","1.0684586E7"
"079550","LIG넥스원","477000","-46000","-8.80","1.0494E7"
"443060","HD현대마린솔루션","234000","-11000","-4.49","1.0490035E7"
"272210","한화시스템","54500","-4800","-8.09","1.0296107E7"
"003230","삼양식품","1339000","-42000","-3.04","1.0086707E7"
"047810","한국항공우주","100000","-8100","-7.49","9747511.0"
"278470","에이피알","261500","-14500","-5.25","9788116.0"
"326030","SK바이오팜","120600","300","0.25","9444578.0"
"071050","한국금융지주","169000","-4100","-2.37","9417693.0"
"000100","유한양행","116500","-3900","-3.24","9316323.0"
"047050","포스코인터내셔널","52800","-1800","-3.30","9288723.0"
"005830","DB손해보험","128300","1400","1.10","9083640.0"
"010620","HD현대미포","211500","-12000","-5.37","8447765.0"
"010950","S-Oil","74900","-2400","-3.10","8432451.0"
"003490","대한항공","22000","0","0.00","8100855.0"
"039490","키움증권","282500","-8000","-2.75","7477275.0"
"090430","아모레퍼시픽","120100","-500","-0.41","7024980.0"
"034220","LG디스플레이","14010","-560","-3.84","7005000.0"
"005940","NH투자증권","20300","50","0.25","7233791.0"
"000720","현대건설","64300","-3300","-4.88","7160176.0"
"377300","카카오페이","50800","-700","-1.36","6864966.0"
"180640","한진칼","100300","-2900","-2.81","6696257.0"
"000880","한화","88700","-4900","-5.24","6648840.0"
"006260","LS","206000","-16500","-7.42","6530200.0"
"032640","LG유플러스","14970","420","2.89","6434530.0"
"021240","코웨이","89800","-400","-0.44","6457440.0"
"016360","삼성증권","73400","-1300","-1.74","6554620.0"
"128940","한미약품","459000","7500","1.66","5880245.0"
"161390","한국타이어앤테크놀로지","45600","-350","-0.76","5648703.0"
"029780","삼성카드","49650","150","0.30","5752394.0"
"011070","LG이노텍","234500","-2500","-1.05","5549937.0"
"241560","두산밥캣","59900","-1300","-2.12","5741778.0"
"454910","두산로보틱스","81400","-7200","-8.13","5276346.0"
"001440","대한전선","26300","-800","-2.95","4903564.0"
"028050","삼성E&A","25850","-550","-2.08","5066600.0"
"009830","한화솔루션","28750","-5050","-14.94","4941910.0"
"251270","넷마블","54300","-1300","-2.34","4667275.0"
"036570","엔씨소프트","214500","-6000","-2.72","4621193.0"
"011790","SKC","126200","-5200","-3.96","4778979.0"
"001040","CJ","163000","-9700","-5.62","4755851.0"
"066970","엘앤에프","125600","4100","3.37","4561311.0"
"078930","GS","47750","-1200","-2.45","4436709.0"
"138930","BNK금융지주","14450","20","0.14","4543443.0"
"051900","LG생활건강","286000","-5000","-1.72","4376503.0"
"302440","SK바이오사이언스","57500","-2600","-4.33","4506226.0"
"450080","에코프로머티","62000","-3900","-5.92","4335810.0"
"175330","JB금융지주","22600","-150","-0.66","4320739.0"
"271560","오리온","101800","-100","-0.10","4024778.0"
"022100","포스코DX","27750","-1900","-6.41","4218964.0"
"004020","현대제철","31150","-700","-2.20","4156836.0"
"036460","한국가스공사","41150","-850","-2.02","3798680.0"
"052690","한전기술","95700","-4900","-4.87","3657654.0"
"002380","KCC","405500","-21500","-5.04","3603464.0"
"035250","강원랜드","16680","-240","-1.42","3568528.0"
"097950","CJ제일제당","225000","-5500","-2.39","3387192.0"
"004990","롯데지주","28350","-700","-2.41","2974177.0"
"018880","한온시스템","4500","70","1.58","3054431.0"
"103140","풍산","103800","-7200","-6.49","2908920.0"
"012750","에스원","74100","-1900","-2.50","2815739.0"
"011780","금호석유화학","111900","-3700","-3.20","2912952.0"
"011170","롯데케미칼","69900","-3600","-4.90","2990002.0"
"026960","동서","26650","-150","-0.56","2657005.0"
"017800","현대엘리베이터","71900","-800","-1.10","2810742.0"
"042670","HD현대인프라코어","13950","-700","-4.78","2634475.0"
"004370","농심","435000","-8000","-1.81","2645949.0"
"111770","영원무역","57300","-700","-1.21","2539047.0"
"088350","한화생명","3005","-15","-0.50","2609933.0"
"008930","한미사이언스","40000","-500","-1.23","2735662.0"
"001450","현대해상","27400","400","1.48","2449560.0"
"009420","한올바이오파마","44400","3050","7.38","2319484.0"
"014680","한솔케미칼","220500","-8500","-3.71","2499410.0"
"030000","제일기획","20300","-500","-2.40","2335337.0"
"051600","한전KPS","49400","-1300","-2.56","2223000.0"
"081660","미스토홀딩스","38150","-600","-1.55","2292656.0"
"361610","SK아이이테크놀로지","29950","-1650","-5.22","2449524.0"
"383220","F&F","59500","-1200","-1.98","2279271.0"
"489790","한화비전","46500","-3150","-6.34","2347710.0"
"000240","한국앤컴퍼니","22800","-200","-0.87","2164523.0"
"002790","아모레퍼시픽홀딩스","24850","-750","-2.93","1974536.0"
"006040","동원산업","46150","-1300","-2.74","2037430.0"
"192820","코스맥스","195600","-3800","-1.91","2219964.0"
"028670","팬오션","3645","-80","-2.15","1948506.0"
"139130","iM금융지주","13420","10","0.07","2174774.0"
"139480","이마트","71200","-400","-0.56","1964822.0"
"010060","OCI홀딩스","115200","-5500","-4.56","2167478.0"
"000120","CJ대한통운","80000","-1000","-1.23","1824988.0"
"004170","신세계","177100","-300","-0.17","1708162.0"
"008770","호텔신라","45250","-3400","-6.99","1775977.0"
"009970","영원무역홀딩스","136600","100","0.07","1843996.0"
"017960","한국카본","33150","-2250","-6.36","1720765.0"
"282330","BGF리테일","102500","-1100","-1.06","1771600.0"
"069620","대웅제약","140600","-1600","-1.13","1629072.0"
"069960","현대백화점","83000","-1100","-1.31","1878191.0"
"112610","씨에스윈드","43500","-2950","-6.35","1834456.0"
"161890","한국콜마","74500","-800","-1.06","1758578.0"
"204320","HL만도","36150","-1200","-3.21","1697500.0"
"023530","롯데쇼핑","64100","-400","-0.62","1813309.0"
"005850","에스엘","33750","-900","-2.60","1567638.0"
